Longitude,Latitude,Elevation,mEast,mNorth,Fix_Type,UTC_Time,Speed,Course,SF_1,SF_2,SF_3,SF_4,F14,F15
-111.974724,33.079229,357.85,409025.0072,3660492.72,2,181053.2,0.06,267.7,0,VERT,QUAD,54,,
-111.974724,33.079229,357.85,409025.0072,3660492.72,2,181053.4,0.02,61,0,VERT,QUAD,53,,
-111.974724,33.079229,357.85,409025.0165,3660492.719,2,181053.6,0.07,119.3,0,VERT,QUAD,53,,
-111.974721,33.079228,357.56,409025.2772,3660492.65,2,181054.2,0.06,148.2,0,VERT,QUAD,54,,
-111.974721,33.079228,357.56,409025.2773,3660492.662,2,181054.4,0.08,348.5,0,VERT,QUAD,53,,
-111.97472,33.079228,357.17,409025.3607,3660492.594,2,181054.8,0.09,314.1,0,VERT,QUAD,54,,
-111.97472,33.079228,356.88,409025.3978,3660492.561,2,181055.2,0.02,15.6,0,VERT,QUAD,53,,
-111.97472,33.079227,356.59,409025.3694,3660492.528,2,181056.2,0.02,8.3,0,VERT,QUAD,53,,
-111.974721,33.079227,356.32,409025.3225,3660492.495,2,181056.8,0.06,293.8,0,VERT,QUAD,53,,
-111.974721,33.079227,356.11,409025.2756,3660492.473,2,181057.2,0.07,168.7,0,VERT,QUAD,53,,
-111.974721,33.079227,356.11,409025.2757,3660492.484,2,181057.4,0.08,9.2,0,VERT,QUAD,53,,
-111.974721,33.079227,355.97,409025.2662,3660492.462,2,181058.2,0.07,142.2,0,VERT,QUAD,53,,
-111.974738,33.079231,358.07,409023.721,3660492.931,1,181059.2,0.05,337.7,0,VERT,QUAD,54,,
-111.974743,33.079232,358.66,409023.2558,3660493.102,1,181100.2,0.06,55.7,0,VERT,QUAD,53,,
-111.974743,33.079232,358.66,409023.2559,3660493.113,1,181100.6,0.08,4.5,0,VERT,QUAD,53,,
-111.974748,33.079234,359.28,409022.7628,3660493.284,1,181101.2,0.08,194.4,0,VERT,QUAD,53,,
-111.974748,33.079234,359.28,409022.7629,3660493.295,1,181101.4,0.06,42.3,0,VERT,QUAD,53,,
-111.974748,33.079234,359.28,409022.7722,3660493.295,1,181101.8,0.07,82,0,VERT,QUAD,53,,
-111.97475,33.079234,359.43,409022.6513,3660493.34,1,181102.2,0.04,34.4,0,VERT,QUAD,53,,
-111.97475,33.079234,359.43,409022.642,3660493.34,1,181102.4,0.03,213,0,VERT,QUAD,53,,
-111.974751,33.079236,360,409022.5594,3660493.496,1,181103.2,0.09,102.6,0,VERT,QUAD,53,,
-111.97475,33.079236,359.98,409022.5687,3660493.496,1,181103.6,0.1,98.8,0,VERT,QUAD,53,,
-111.974744,33.079225,360.14,409023.1921,3660492.271,2,181104.2,0.06,80.8,0,VERT,QUAD,54,,
-111.974743,33.07923,360.52,409023.2815,3660492.846,2,181105.2,0.11,1.4,0,VERT,QUAD,53,,
-111.974743,33.07923,360.56,409023.2818,3660492.88,2,181105.6,0.11,1.4,0,VERT,QUAD,53,,
-111.974743,33.079231,360.6,409023.2821,3660492.913,2,181106.2,0.04,307.2,0,VERT,QUAD,53,,
-111.974743,33.079231,360.61,409023.2914,3660492.913,2,181106.4,0.03,74.1,0,VERT,QUAD,53,,
-111.974743,33.079231,360.61,409023.2916,3660492.935,2,181106.6,0.01,61.3,0,VERT,QUAD,53,,
-111.974743,33.079231,360.64,409023.2918,3660492.957,2,181107.2,0.03,335.6,0,VERT,QUAD,53,,
-111.974743,33.079231,360.66,409023.2825,3660492.957,2,181108,0.06,246.4,0,VERT,QUAD,53,,
-111.974743,33.079231,360.67,409023.2826,3660492.968,2,181108.2,0.06,127.3,0,VERT,QUAD,53,,
-111.974744,33.079228,359.92,409023.1957,3660492.659,2,181109.4,0.25,75.3,0,VERT,QUAD,53,,
-111.974744,33.079228,359.9,409023.1958,3660492.67,2,181109.6,0.25,75.3,0,VERT,QUAD,53,,
-111.974744,33.079228,359.91,409023.1771,3660492.67,2,181109.8,0.25,75.3,0,VERT,QUAD,53,,
-111.974744,33.079227,359.62,409023.1292,3660492.537,2,181110.2,0.19,22.6,0,VERT,QUAD,53,,
-111.974744,33.079227,359.64,409023.1387,3660492.548,2,181110.4,0.17,88.5,0,VERT,QUAD,54,,
-111.974745,33.079226,359.2,409023.0998,3660492.382,2,181111.2,0.29,91.1,0,VERT,QUAD,53,,
-111.974745,33.079226,359.2,409023.0904,3660492.371,2,181111.4,0.29,91.1,0,VERT,QUAD,53,,
-111.974745,33.079226,359.22,409023.0811,3660492.383,2,181111.6,0.08,333.3,0,VERT,QUAD,53,,
-111.974745,33.079226,359.19,409023.0718,3660492.383,2,181111.8,0.29,263.4,0,VERT,QUAD,53,,
-111.974787,33.079018,358.98,409018.8907,3660469.348,1,183741.4,0.35,271.6,0,VERT,QUAD,62,,
-111.974787,33.079018,358.97,409018.9189,3660469.37,1,183742,0.19,28.6,0,VERT,QUAD,61,,
-111.974787,33.079018,359.01,409018.9282,3660469.37,1,183742.2,0.21,143.4,0,VERT,QUAD,62,,
-111.974787,33.079018,358.96,409018.919,3660469.381,1,183742.4,0.36,319.4,0,VERT,QUAD,62,,
-111.974787,33.079018,358.98,409018.9283,3660469.381,1,183743.2,0.15,282.4,0,VERT,QUAD,61,,
-111.974787,33.079018,358.94,409018.9284,3660469.392,1,183743.4,0.25,3.9,0,VERT,QUAD,62,,
-111.974786,33.079017,359.08,409019.0019,3660469.258,2,183744.2,0.04,256,0,VERT,QUAD,61,,
-111.974786,33.079017,359.03,409019.0113,3660469.269,2,183744.4,0.33,48,0,VERT,QUAD,62,,
-111.974786,33.079017,359.02,409019.0112,3660469.258,2,183744.6,0.46,192.4,0,VERT,QUAD,62,,
-111.974782,33.079016,358.91,409019.365,3660469.155,2,183745.2,0.09,159.5,0,VERT,QUAD,62,,
-111.974782,33.079016,358.88,409019.3556,3660469.155,2,183745.4,0.2,325.6,0,VERT,QUAD,62,,
-111.974782,33.079016,358.86,409019.3648,3660469.144,2,183745.6,0.27,142.9,0,VERT,QUAD,62,,
-111.974781,33.079016,358.79,409019.4579,3660469.11,2,183746.2,0.07,294,0,VERT,QUAD,62,,
-111.974781,33.079016,358.75,409019.4486,3660469.121,2,183746.4,0.3,299.6,0,VERT,QUAD,62,,
-111.97478,33.079015,358.58,409019.5695,3660469.064,2,183747.2,0.1,137.7,0,VERT,QUAD,62,,
-111.97478,33.079015,358.54,409019.5601,3660469.064,2,183747.4,0.08,336.1,0,VERT,QUAD,62,,
-111.97478,33.079015,358.48,409019.5973,3660469.042,2,183748.2,0.02,239.2,0,VERT,QUAD,61,,
-111.97478,33.079015,358.42,409019.5974,3660469.053,2,183748.4,0.47,327.8,0,VERT,QUAD,62,,
-111.97478,33.079015,358.43,409019.6066,3660469.042,2,183748.6,0.62,142.3,0,VERT,QUAD,61,,
-111.974779,33.079015,358.24,409019.681,3660469.008,2,183749.2,0.04,300.3,0,VERT,QUAD,62,,
-111.974779,33.079015,358.22,409019.6809,3660468.997,2,183749.6,0.37,156.4,0,VERT,QUAD,62,,
-111.974778,33.079015,358.1,409019.7368,3660468.985,2,183750.2,0.03,303.8,0,VERT,QUAD,62,,
-111.974778,33.079015,358.07,409019.7274,3660468.985,2,183750.4,0.19,307.3,0,VERT,QUAD,61,,
-111.974778,33.079014,358.07,409019.7367,3660468.974,2,183750.6,0.33,139.5,0,VERT,QUAD,62,,
-111.974778,33.079014,358.01,409019.7646,3660468.963,2,183751.2,0.05,313.2,0,VERT,QUAD,62,,
-111.974778,33.079014,357.98,409019.7645,3660468.952,2,183751.6,0.39,169.5,0,VERT,QUAD,62,,
-111.974778,33.079014,357.96,409019.7831,3660468.952,2,183752.2,0.05,3.3,0,VERT,QUAD,62,,
-111.974778,33.079014,357.91,409019.7738,3660468.952,2,183752.4,0.34,343.8,0,VERT,QUAD,62,,
-111.974778,33.079014,357.91,409019.783,3660468.94,2,183752.6,0.52,166.8,0,VERT,QUAD,62,,
-111.974778,33.079014,357.92,409019.7924,3660468.94,2,183753.2,0.04,187.2,0,VERT,QUAD,62,,
-111.974778,33.079014,357.93,409019.8016,3660468.929,2,183753.6,0.5,173,0,VERT,QUAD,62,,
-111.974778,33.079014,357.89,409019.8017,3660468.94,2,183753.8,0.54,335,0,VERT,QUAD,62,,
-111.974778,33.079014,357.89,409019.8109,3660468.929,2,183754.2,0.04,15.1,0,VERT,QUAD,62,,
-111.974778,33.079014,357.84,409019.811,3660468.94,2,183755.4,0.3,325.6,0,VERT,QUAD,62,,
