Longitude,Latitude,UTC_Time,Mean,UTMX,UTMY
-111.9900158,33.0749682,135721,51.8,407593.267,3660033.69
-111.9900156,33.0749682,135722,51.59259259,407593.2857,3660033.69
-111.9900158,33.0749683,135724,52,407593.2671,3660033.701
-111.9900159,33.0749683,135725,51.69230769,407593.2578,3660033.701
-111.9900149,33.0749633,135726,50.5,407593.3459,3660033.146
-111.9900153,33.0749543,135727,50.57142857,407593.2992,3660032.149
-111.9900184,33.0749462,135728,51.76923077,407593.0013,3660031.253
-111.9900187,33.0749386,135729,52.64285714,407592.9654,3660030.411
-111.9900167,33.0749313,135730,52.84615385,407593.1444,3660029.6
-111.9900186,33.0749234,135731,55.78571429,407592.9588,3660028.726
-111.9900207,33.0749152,135732,54.92857143,407592.7542,3660027.818
-111.990019,33.0749071,135733,53.53846154,407592.9044,3660026.919
-111.9900172,33.0748989,135734,53.28571429,407593.0639,3660026.008
-111.9900173,33.0748906,135735,53.71428571,407593.0459,3660025.088
-111.9900193,33.074882,135736,53,407592.8502,3660024.136
-111.9900196,33.0748733,135737,54.64285714,407592.8131,3660023.172
-111.9900179,33.0748647,135738,53.15384615,407592.9628,3660022.217
-111.9900188,33.0748562,135739,53.07142857,407592.8699,3660021.276
-111.9900195,33.0748479,135740,54.5,407592.7959,3660020.356
-111.9900176,33.0748395,135741,53.38461538,407592.9644,3660019.423
-111.9900151,33.0748295,135742,46.35714286,407593.1873,3660018.312
-111.9900206,33.0748203,135743,41.38461538,407592.6643,3660017.297
-111.990024,33.0748127,135744,55.71428571,407592.339,3660016.457
-111.99002,33.074805,135745,60.14285714,407592.7043,3660015.6
-111.990019,33.0747971,135746,59.61538462,407592.7894,3660014.723
-111.9900172,33.0747892,135747,55.5,407592.9492,3660013.846
-111.9900159,33.0747811,135748,53.92857143,407593.0621,3660012.947
-111.9900159,33.0747727,135749,53,407593.0533,3660012.015
-111.9900157,33.0747644,135750,53.5,407593.0633,3660011.095
-111.9900156,33.0747562,135751,55.53846154,407593.064,3660010.186
-111.9900165,33.0747479,135752,56.35714286,407592.9713,3660009.266
-111.9900159,33.0747397,135753,54,407593.0188,3660008.357
-111.9900155,33.0747314,135754,56.07692308,407593.0474,3660007.436
-111.9900149,33.0747231,135755,56.14285714,407593.0948,3660006.516
-111.9900159,33.0747147,135756,56.21428571,407592.9926,3660005.585
-111.9900179,33.0747062,135757,55.38461538,407592.7971,3660004.645
-111.9900174,33.0746978,135758,52.57142857,407592.8349,3660003.713
-111.9900166,33.0746894,135759,52.46153846,407592.9008,3660002.781
-111.9900166,33.0746811,135800,55.78571429,407592.8922,3660001.861
-111.9900152,33.0746729,135801,56.64285714,407593.0143,3660000.95
-111.9900122,33.0746649,135802,56.61538462,407593.2859,3660000.061
-111.9900102,33.0746568,135803,54.28571429,407593.4641,3659999.161
-111.9900099,33.0746485,135804,53,407593.4835,3659998.24
-111.99001,33.0746404,135805,52.92307692,407593.4657,3659997.342
-111.9900089,33.074632,135806,53.35714286,407593.5596,3659996.41
-111.9900069,33.0746237,135807,52.46153846,407593.7376,3659995.488
-111.9900049,33.0746156,135808,51.5,407593.9158,3659994.588
-111.9900065,33.0746072,135809,50.07142857,407593.7577,3659993.659
-111.9900095,33.0745986,135810,52.46153846,407593.4686,3659992.708
-111.990011,33.0745902,135811,49.21428571,407593.3198,3659991.778
-111.9900115,33.0745818,135812,48.30769231,407593.2644,3659990.847
-111.9900107,33.0745734,135813,48.21428571,407593.3303,3659989.915
-111.9900115,33.0745647,135814,48.78571429,407593.2465,3659988.951
-111.9900127,33.0745562,135815,48.84615385,407593.1256,3659988.01
-111.9900124,33.0745479,135816,47.21428571,407593.1449,3659987.089
-111.9900129,33.0745395,135817,46.35714286,407593.0895,3659986.158
-111.9900134,33.0745311,135818,45.69230769,407593.034,3659985.228
-111.9900128,33.0745229,135819,46.28571429,407593.0815,3659984.318
-111.9900108,33.0745147,135820,45,407593.2596,3659983.407
-111.9900096,33.0745064,135821,43.46153846,407593.3629,3659982.486
-111.9900094,33.0744981,135822,44.78571429,407593.3729,3659981.565
-111.9900074,33.07449,135823,42.84615385,407593.5511,3659980.666
-111.9900084,33.0744816,135824,42.92857143,407593.449,3659979.735
-111.9900087,33.0744731,135825,42.78571429,407593.4121,3659978.793
-111.9900068,33.0744649,135826,40.53846154,407593.5809,3659977.882
-111.9900069,33.0744565,135827,40.92857143,407593.5628,3659976.951
-111.9900075,33.0744479,135828,41.30769231,407593.4978,3659975.998
-111.9900078,33.0744397,135829,42.28571429,407593.4612,3659975.089
-111.9900076,33.0744315,135830,44.21428571,407593.4713,3659974.18
-111.9900075,33.074423,135831,41.61538462,407593.4717,3659973.237
-111.9900089,33.0744146,135832,41.85714286,407593.3323,3659972.307
-111.9900092,33.0744063,135833,41.85714286,407593.2956,3659971.387
-111.9900082,33.0743982,135834,45.38461538,407593.3805,3659970.489
-111.9900095,33.0743898,135835,45.14285714,407593.2503,3659969.558
-111.9900103,33.0743812,135836,44.69230769,407593.1667,3659968.606
-111.9900098,33.0743731,135837,43.14285714,407593.2049,3659967.707
-111.9900106,33.0743649,135838,41.78571429,407593.1216,3659966.799
-111.9900128,33.0743565,135839,42.53846154,407592.9075,3659965.869
-111.9900131,33.0743481,135840,44.07142857,407592.8707,3659964.938
-111.9900118,33.0743396,135841,43.28571429,407592.9831,3659963.995
-111.9900111,33.0743312,135842,41.53846154,407593.0397,3659963.063
-111.990011,33.0743228,135843,41.42857143,407593.0403,3659962.132
-111.9900094,33.0743144,135844,44.07692308,407593.1808,3659961.199
-111.9900079,33.0743062,135845,44.57142857,407593.3123,3659960.288
-111.9900078,33.074298,135846,43.42857143,407593.313,3659959.379
-111.9900072,33.0742899,135847,41.15384615,407593.3606,3659958.481
-111.9900068,33.0742816,135848,40.78571429,407593.3892,3659957.56
-111.9900073,33.0742734,135849,40.07692308,407593.334,3659956.651
-111.9900077,33.0742649,135850,39.92857143,407593.2878,3659955.709
