Longitude,Latitude,UTC_Time,Mean,UTMX,UTMY
-111.9899894,33.0747686,145346,60,407595.5226,3660011.538
-111.989989,33.0747683,145347,60.15384615,407595.5596,3660011.504
-111.9899887,33.0747682,145348,60.14285714,407595.5875,3660011.493
-111.9899887,33.0747671,145349,60.07692308,407595.5863,3660011.371
-111.9899884,33.074765,145350,60.07142857,407595.6121,3660011.138
-111.9899885,33.074762,145351,61.78571429,407595.5997,3660010.805
-111.9899886,33.0747582,145352,59.92307692,407595.5864,3660010.384
-111.9899883,33.0747545,145353,56.5,407595.6105,3660009.973
-111.9899882,33.0747507,145354,56.35714286,407595.6159,3660009.552
-111.989988,33.0747471,145355,56.61538462,407595.6308,3660009.153
-111.9899882,33.0747435,145356,57.42857143,407595.6083,3660008.754
-111.9899888,33.0747413,145357,56.30769231,407595.55,3660008.51
-111.9899888,33.0747404,145358,56.35714286,407595.5491,3660008.411
-111.9899886,33.0747358,145359,56.85714286,407595.5629,3660007.9
-111.9899887,33.0747292,145400,53.30769231,407595.5467,3660007.169
-111.9899878,33.0747228,145401,57.64285714,407595.624,3660006.458
-111.9899865,33.0747167,145402,57.61538462,407595.739,3660005.781
-111.9899869,33.0747106,145403,56.78571429,407595.6953,3660005.105
-111.9899882,33.0747044,145404,58.35714286,407595.5675,3660004.419
-111.9899881,33.0746982,145405,60.15384615,407595.5703,3660003.731
-111.9899882,33.0746921,145406,61.5,407595.5546,3660003.055
-111.9899885,33.074686,145407,60,407595.5202,3660002.379
-111.9899883,33.07468,145408,59.69230769,407595.5326,3660001.714
-111.9899884,33.0746742,145409,60.14285714,407595.5172,3660001.071
-111.9899891,33.0746682,145410,58.07692308,407595.4456,3660000.406
-111.9899902,33.0746622,145411,56.14285714,407595.3366,3659999.742
-111.98999,33.0746561,145412,54.92857143,407595.3489,3659999.065
-111.9899888,33.0746502,145413,57.61538462,407595.4548,3659998.41
-111.9899887,33.0746441,145414,56,407595.4577,3659997.734
-111.9899892,33.0746378,145415,57.14285714,407595.4045,3659997.036
-111.9899894,33.0746316,145416,56.76923077,407595.3793,3659996.349
-111.9899885,33.0746257,145417,58.71428571,407595.4572,3659995.694
-111.9899878,33.0746196,145418,55.30769231,407595.5161,3659995.017
-111.9899875,33.0746137,145419,54,407595.538,3659994.362
-111.9899867,33.0746079,145420,55.5,407595.6066,3659993.719
-111.989984,33.0746022,145421,52.69230769,407595.8526,3659993.084
-111.9899814,33.0746006,145422,53.42857143,407596.0937,3659992.905
-111.9899817,33.0746013,145423,54.07142857,407596.0664,3659992.983
-111.9899832,33.0746013,145424,54.30769231,407595.9264,3659992.984
-111.9899843,33.074601,145425,54.42857143,407595.8234,3659992.952
-111.9899833,33.074595,145426,54.15384615,407595.9105,3659992.286
-111.989985,33.0745846,145427,56.85714286,407595.7409,3659991.134
-111.9899874,33.0745741,145428,51.28571429,407595.5059,3659989.972
-111.9899875,33.0745644,145429,54,407595.4864,3659988.897
-111.989989,33.074555,145430,51.14285714,407595.3366,3659987.856
-111.9899887,33.0745458,145431,49.46153846,407595.355,3659986.836
-111.9899879,33.0745366,145432,47.21428571,407595.42,3659985.815
-111.9899861,33.0745272,145433,46.21428571,407595.5782,3659984.771
-111.9899856,33.0745176,145434,45.23076923,407595.6148,3659983.706
-111.9899856,33.0745081,145435,40.71428571,407595.6049,3659982.653
-111.9899847,33.0744987,145436,46.42857143,407595.6791,3659981.61
-111.9899836,33.0744894,145437,45.84615385,407595.772,3659980.578
-111.9899835,33.0744801,145438,43,407595.7717,3659979.547
-111.9899843,33.0744708,145439,40.84615385,407595.6873,3659978.517
-111.9899843,33.0744614,145440,41.28571429,407595.6774,3659977.474
-111.9899831,33.0744521,145441,42.07142857,407595.7797,3659976.442
-111.9899817,33.0744433,145442,44.69230769,407595.9012,3659975.465
-111.9899805,33.0744341,145443,43.71428571,407596.0036,3659974.444
-111.98998,33.0744246,145444,42.42857143,407596.0403,3659973.391
-111.9899809,33.074415,145445,42.61538462,407595.9463,3659972.327
-111.9899821,33.0744054,145446,44.85714286,407595.8242,3659971.264
-111.9899825,33.0743961,145447,43.92307692,407595.7772,3659970.233
-111.9899821,33.0743869,145448,44.07142857,407595.8049,3659969.213
-111.9899827,33.0743777,145449,43.78571429,407595.7393,3659968.193
-111.9899848,33.0743683,145450,43,407595.5334,3659967.153
-111.9899848,33.0743589,145451,40,407595.5236,3659966.111
-111.9899841,33.0743497,145452,40.07142857,407595.5793,3659965.09
-111.9899835,33.0743404,145453,40.92307692,407595.6256,3659964.059
-111.9899826,33.0743306,145454,39.14285714,407595.6994,3659962.971
-111.9899827,33.0743211,145455,38,407595.6801,3659961.918
-111.9899821,33.074312,145456,38,407595.7266,3659960.909
-111.989982,33.0743029,145457,41.21428571,407595.7264,3659959.9
-111.9899814,33.0742937,145458,40.15384615,407595.7728,3659958.879
-111.9899805,33.0742841,145459,40.35714286,407595.8468,3659957.814
-111.9899814,33.0742746,145500,38.61538462,407595.7528,3659956.762
-111.989983,33.0742653,145501,40.85714286,407595.5937,3659955.732
-111.9899836,33.0742558,145502,38.92857143,407595.5278,3659954.679
-111.9899843,33.0742463,145503,37.84615385,407595.4525,3659953.627
-111.9899836,33.074237,145504,34.21428571,407595.5082,3659952.595
-111.9899812,33.0742278,145505,32.5,407595.7226,3659951.573
-111.9899806,33.0742183,145506,39,407595.7686,3659950.519
-111.9899793,33.074209,145507,38,407595.8803,3659949.487
-111.9899557,33.074,145527,31,407597.8646,3659926.295
-111.9899903,33.0740224,145528,28.85714286,407594.6584,3659928.809
-111.9899899,33.0740132,145529,27.14285714,407594.6861,3659927.788
-111.9899892,33.0740038,145530,28.07692308,407594.7416,3659926.745
-111.9899892,33.0739944,145531,27.35714286,407594.7318,3659925.703
-111.9899885,33.0739852,145532,31.07142857,407594.7875,3659924.683
-111.989988,33.0739761,145533,33.23076923,407594.8247,3659923.673
-111.9899874,33.0739673,145534,32.57142857,407594.8715,3659922.697
-111.9899882,33.0739585,145535,30.07142857,407594.7876,3659921.722
-111.9899892,33.0739498,145536,30.57142857,407594.6852,3659920.759
-111.9899884,33.0739408,145537,31.38461538,407594.7504,3659919.76
-111.9899899,33.0739316,145538,32.14285714,407594.6008,3659918.741
-111.9899863,33.073918,145539,28.57142857,407594.9226,3659917.23
-111.9899828,33.073906,145540,31.84615385,407595.2368,3659915.897
-111.9899808,33.0738949,145541,33.07142857,407595.4118,3659914.665
-111.9899794,33.0738846,145542,32.42857143,407595.5318,3659913.521
-111.9899775,33.0738748,145543,30.61538462,407595.6989,3659912.433
-111.9899762,33.0738651,145544,32.85714286,407595.8101,3659911.357
-111.9899777,33.0738555,145545,31.71428571,407595.66,3659910.294
-111.9899802,33.0738459,145546,30.38461538,407595.4166,3659909.231
-111.989982,33.0738366,145547,28.21428571,407595.2389,3659908.202
-111.9899804,33.0738274,145548,27,407595.3786,3659907.181
-111.9899786,33.0738183,145549,27.85714286,407595.5371,3659906.17
-111.9899784,33.0738088,145550,26.35714286,407595.5459,3659905.117
-111.9899767,33.0737995,145551,31,407595.6948,3659904.084
-111.9899772,33.0737899,145552,38.35714286,407595.6381,3659903.02
-111.9899776,33.0737805,145553,37.21428571,407595.5909,3659901.978
-111.9899781,33.0737713,145554,36.15384615,407595.5346,3659900.959
-111.989979,33.073762,145555,32.78571429,407595.4409,3659899.929
-111.9899771,33.0737533,145556,37.07692308,407595.6092,3659898.962
-111.9899749,33.0737445,145557,40.78571429,407595.8053,3659897.985
-111.9899748,33.0737353,145558,36.92857143,407595.805,3659896.965
-111.9899738,33.0737259,145559,36.76923077,407595.8886,3659895.922
-111.9899732,33.0737165,145600,35.57142857,407595.9347,3659894.879
-111.9899744,33.0737071,145601,35.5,407595.8129,3659893.838
-111.9899756,33.0736978,145602,27.38461538,407595.6912,3659892.808
-111.9899762,33.0736887,145603,28.57142857,407595.6256,3659891.799
-111.9899757,33.0736795,145604,34.30769231,407595.6627,3659890.779
-111.9899746,33.0736705,145605,34.07142857,407595.756,3659889.78
-111.9899745,33.0736615,145606,31.57142857,407595.7559,3659888.782
-111.9899759,33.0736518,145607,28.92307692,407595.6151,3659887.708
-111.9899754,33.0736423,145608,28.07142857,407595.6518,3659886.654
-111.9899735,33.0736332,145609,32.21428571,407595.8196,3659885.644
-111.9899729,33.0736241,145610,32.30769231,407595.8661,3659884.634
-111.9899741,33.0736151,145611,29.92857143,407595.7447,3659883.638
-111.9899727,33.073606,145612,29.38461538,407595.8659,3659882.628
-111.9899717,33.0735968,145613,34.28571429,407595.9496,3659881.607
-111.9899734,33.0735873,145614,37.85714286,407595.781,3659880.555
-111.9899743,33.0735779,145615,36.07692308,407595.6872,3659879.514
-111.9899723,33.0735688,145616,36.5,407595.8643,3659878.503
-111.9899703,33.0735598,145617,35.64285714,407596.0416,3659877.503
-111.9899719,33.0735504,145618,32.76923077,407595.8824,3659876.463
-111.9899736,33.0735407,145619,33.57142857,407595.7136,3659875.389
-111.989974,33.073531,145620,30.23076923,407595.6661,3659874.314
-111.9899846,33.0733562,145640,34.07142857,407594.4939,3659854.943
-111.9899808,33.0733443,145641,31.64285714,407594.8362,3659853.621
-111.9899783,33.073336,145642,34,407595.0609,3659852.698
-111.9899759,33.0733285,145643,40.35714286,407595.2771,3659851.864
-111.9899754,33.0733214,145644,40.23076923,407595.3163,3659851.077
-111.9899721,33.0733134,145645,29.78571429,407595.616,3659850.187
-111.9899757,33.0733048,145647,21.61538462,407595.271,3659849.237
-111.9899752,33.0733039,145648,23.85714286,407595.3167,3659849.137
-111.9899761,33.0733045,145649,24.23076923,407595.2333,3659849.204
-111.9899757,33.0733032,145650,24.28571429,407595.2693,3659849.059
-111.9899767,33.0733011,145651,24.07142857,407595.1737,3659848.827
-111.9899726,33.0732954,145652,24.07142857,407595.5505,3659848.192
-111.9899691,33.0732927,145653,24.76923077,407595.8744,3659847.889
-111.9899664,33.0732898,145654,24.42857143,407596.1234,3659847.566
-111.9899647,33.0732879,145655,24.30769231,407596.2801,3659847.353
-111.9899636,33.0732867,145656,24.42857143,407596.3815,3659847.219
-111.989963,33.0732859,145657,24.64285714,407596.4367,3659847.13
-111.9899626,33.0732854,145658,24.38461538,407596.4735,3659847.074
-111.9899623,33.0732851,145659,24.42857143,407596.5012,3659847.041
-111.9899621,33.073285,145700,24.69230769,407596.5197,3659847.03
-111.9899627,33.0732842,145701,24.42857143,407596.4629,3659846.941
-111.9899631,33.0732817,145702,23.85714286,407596.4229,3659846.665
-111.9899625,33.073277,145703,23.46153846,407596.474,3659846.143
-111.9899635,33.0732747,145704,24.57142857,407596.3783,3659845.889
-111.9899659,33.0732745,145705,21,407596.1541,3659845.869
-111.989968,33.0732727,145706,19,407595.9561,3659845.671
-111.9899697,33.07327,145707,17.5,407595.7946,3659845.373
-111.9899711,33.0732665,145708,17,407595.6603,3659844.986
-111.9899726,33.0732637,145709,19.5,407595.5174,3659844.677
-111.989974,33.0732615,145710,21.92857143,407595.3844,3659844.435
-111.9899751,33.0732606,145711,22.69230769,407595.2808,3659844.336
-111.9899766,33.0732605,145712,23.57142857,407595.1406,3659844.326
-111.9899784,33.0732604,145713,23.28571429,407594.9725,3659844.317
-111.9899804,33.0732601,145714,24,407594.7855,3659844.285
-111.9899824,33.0732599,145715,24.35714286,407594.5986,3659844.265
-111.9899842,33.0732597,145716,24.07692308,407594.4304,3659844.244
-111.9899852,33.0732597,145717,24,407594.337,3659844.245
-111.989986,33.0732602,145718,24,407594.2629,3659844.301
-111.9899867,33.0732609,145719,24.07692308,407594.1983,3659844.379
-111.9899873,33.0732617,145720,24.35714286,407594.1431,3659844.469
-111.9899885,33.0732624,145721,26.78571429,407594.0318,3659844.547
-111.9899914,33.0732612,145722,26.30769231,407593.7599,3659844.417
-111.9899951,33.0732592,145723,23.64285714,407593.4124,3659844.198
-111.9899996,33.0732566,145724,21.07692308,407592.9896,3659843.914
-111.9900063,33.0732521,145725,21.64285714,407592.3595,3659843.421
-111.9900111,33.07325,145726,23.92857143,407591.9093,3659843.192
-111.9900131,33.0732508,145727,24.92307692,407591.7234,3659843.283
-111.9900155,33.0732517,145728,27.35714286,407591.5003,3659843.385
-111.9900189,33.0732521,145729,28.21428571,407591.1834,3659843.432
-111.9900224,33.0732525,145730,28.30769231,407590.8571,3659843.479
-111.9900255,33.0732532,145731,28.14285714,407590.5685,3659843.56
-111.9900276,33.0732544,145732,27.92307692,407590.3737,3659843.695
-111.9900294,33.0732559,145733,28,407590.2072,3659843.863
-111.9900316,33.0732572,145734,28.35714286,407590.0032,3659844.009
-111.9900325,33.0732589,145735,30.15384615,407589.921,3659844.198
-111.9900322,33.0732606,145736,32.14285714,407589.9508,3659844.386
-111.9900326,33.0732619,145737,34.35714286,407589.9148,3659844.531
-111.9900333,33.0732632,145738,36.69230769,407589.8508,3659844.675
-111.9900346,33.0732646,145739,38.57142857,407589.731,3659844.832
-111.9900377,33.073266,145740,40.53846154,407589.443,3659844.99
-111.9900394,33.0732666,145741,44.07142857,407589.285,3659845.058
-111.9900396,33.0732666,145742,44.14285714,407589.2663,3659845.058
-111.9900398,33.0732665,145743,44,407589.2475,3659845.047
-111.9900396,33.0732666,145744,44.14285714,407589.2663,3659845.058
-111.990037,33.0732709,145745,45.35714286,407589.5135,3659845.532
-111.9900374,33.0732786,145746,45.07692308,407589.4842,3659846.386
-111.9900392,33.0732857,145747,47.28571429,407589.3236,3659847.175
-111.9900395,33.0732927,145748,44.69230769,407589.3029,3659847.951
-111.9900397,33.0732995,145749,45.64285714,407589.2914,3659848.705
-111.9900389,33.0733072,145750,42.28571429,407589.3741,3659849.558
-111.9900383,33.0733159,145751,39.76923077,407589.4392,3659850.522
-111.9900372,33.0733243,145752,38.78571429,407589.5507,3659851.453
-111.9900358,33.0733325,145753,33.42857143,407589.6899,3659852.361
-111.9900369,33.0733407,145754,29.84615385,407589.5958,3659853.271
-111.9900385,33.0733492,145755,30.5,407589.4554,3659854.215
-111.9900409,33.0733574,145756,33.23076923,407589.2399,3659855.126
-111.9900426,33.0733656,145757,36.14285714,407589.0898,3659856.036
-111.9900433,33.0733742,145758,31.5,407589.0334,3659856.99
-111.990045,33.0733825,145759,33.15384615,407588.8834,3659857.912
-111.9900443,33.0733908,145800,32.35714286,407588.9575,3659858.832
-111.9900434,33.0733994,145801,31.92307692,407589.0505,3659859.784
-111.9900428,33.073408,145802,31.5,407589.1155,3659860.737
-111.9900432,33.0734164,145803,30.57142857,407589.0869,3659861.669
-111.9900466,33.0734247,145804,32.07692308,407588.7782,3659862.592
-111.9900452,33.073433,145805,31.85714286,407588.9176,3659863.511
-111.9900418,33.0734412,145806,28.35714286,407589.2435,3659864.417
-111.9900415,33.0734498,145807,30.76923077,407589.2805,3659865.371
-111.9900467,33.0734581,145808,32.92857143,407588.8038,3659866.295
-111.990049,33.0734667,145809,32.85714286,407588.5981,3659867.251
-111.9900477,33.0734751,145810,29.07692308,407588.7282,3659868.181
-111.9900472,33.0734833,145811,27.57142857,407588.7835,3659869.09
-111.9900462,33.0734915,145812,25.38461538,407588.8854,3659869.998
-111.9900449,33.0734998,145813,28.78571429,407589.0154,3659870.917
-111.9900434,33.0735083,145814,28.14285714,407589.1643,3659871.858
-111.9900443,33.0735164,145815,29.61538462,407589.0888,3659872.757
-111.9900446,33.0735244,145816,32.28571429,407589.0691,3659873.644
-111.9900443,33.0735327,145817,31.57142857,407589.1058,3659874.564
-111.9900441,33.0735411,145818,31.84615385,407589.1333,3659875.495
-111.9900434,33.0735495,145819,32.28571429,407589.2074,3659876.426
-111.990042,33.0735581,145820,32.92307692,407589.3471,3659877.378
-111.9900425,33.0735666,145821,32.14285714,407589.3093,3659878.321
-111.9900422,33.0735752,145822,32.35714286,407589.3463,3659879.274
-111.9900408,33.0735837,145823,31.23076923,407589.4859,3659880.215
-111.9900409,33.073592,145824,32.42857143,407589.4852,3659881.135
-111.9900408,33.0736003,145825,32,407589.5032,3659882.056
-111.990043,33.0736088,145826,30.84615385,407589.3067,3659883
-111.9900466,33.0736172,145827,32.42857143,407588.9795,3659883.934
-111.9900478,33.0736255,145828,31.92857143,407588.8762,3659884.856
-111.9900456,33.0736338,145829,31.84615385,407589.0902,3659885.774
