Year,SOIL_DATE,Plot,Core,Depth,SLSND,SLSLT,SLCLY,SLSND2,SLSLT2,SLCLY2,UTMX,UTMY
2016,2016-05-01,101,2016-p01-1,20,56.3,22.3,21.4,67.7,24.1,8.3,408957.2933,3660542.702
2016,2016-05-01,101,2016-p01-1,60,51.9,22.6,25.4,61.6,26.5,11.9,408957.2933,3660542.702
2016,2016-05-01,101,2016-p01-1,100,42.6,32.0,25.4,53.6,36.3,10.1,408957.2933,3660542.702
2016,2016-05-01,101,2016-p01-1,140,42.5,38.4,19.2,50.8,41.2,8.0,408957.2933,3660542.702
2016,2016-05-01,101,2016-p01-1,180,71.2,13.0,15.8,80.0,13.9,6.1,408957.2933,3660542.702
2016,2016-05-01,102,2016-p01-2,20,50.2,19.7,30.2,60.7,20.2,19.1,408956.6913,3660502.699
2016,2016-05-01,102,2016-p01-2,60,56.5,14.3,29.2,63.7,17.9,18.4,408956.6913,3660502.699
2016,2016-05-01,102,2016-p01-2,100,57.2,23.7,19.2,65.5,25.8,8.7,408956.6913,3660502.699
2016,2016-05-01,102,2016-p01-2,140,69.8,14.3,15.9,77.9,15.8,6.4,408956.6913,3660502.699
2016,2016-05-01,102,2016-p01-2,180,67.5,10.3,22.2,73.9,15.6,10.5,408956.6913,3660502.699
2016,2016-05-01,103,2016-p01-3,20,56.4,21.4,22.2,64.9,23.4,11.8,408956.0844,3660462.697
2016,2016-05-01,103,2016-p01-3,60,55.7,21.0,23.2,63.2,23.7,13.1,408956.0844,3660462.697
2016,2016-05-01,103,2016-p01-3,100,60.2,15.7,24.2,67.6,19.9,12.5,408956.0844,3660462.697
2016,2016-05-01,103,2016-p01-3,140,70.1,17.7,12.2,80.0,14.0,6.0,408956.0844,3660462.697
2016,2016-05-01,103,2016-p01-3,180,65.1,15.0,19.9,71.7,16.5,11.7,408956.0844,3660462.697
2016,2016-05-01,104,2016-p01-4,20,68.1,15.0,16.9,76.8,13.9,9.3,408955.4959,3660422.694
2016,2016-05-01,104,2016-p01-4,60,56.5,20.7,22.9,65.3,23.1,11.5,408955.4959,3660422.694
2016,2016-05-01,104,2016-p01-4,100,48.1,17.0,34.9,56.2,26.5,17.3,408955.4959,3660422.694
2016,2016-05-01,104,2016-p01-4,140,63.1,19.6,17.2,73.4,18.6,8.0,408955.4959,3660422.694
2016,2016-05-01,104,2016-p01-4,180,51.7,23.0,25.2,59.0,25.3,15.6,408955.4959,3660422.694
2016,2016-05-01,201,2016-p02-1,20,52.5,16.4,31.2,59.5,21.1,19.4,408943.0588,3660542.919
2016,2016-05-01,201,2016-p02-1,60,45.1,25.0,29.9,53.2,28.1,18.8,408943.0588,3660542.919
2016,2016-05-01,201,2016-p02-1,100,48.8,26.3,24.9,57.8,29.9,12.3,408943.0588,3660542.919
2016,2016-05-01,201,2016-p02-1,140,55.2,21.7,23.2,64.4,24.3,11.3,408943.0588,3660542.919
2016,2016-05-01,201,2016-p02-1,180,46.2,26.7,27.2,56.4,29.4,14.2,408943.0588,3660542.919
2016,2016-05-01,202,2016-p02-2,20,56.1,18.7,25.2,65.3,20.3,14.4,408942.4852,3660502.915
2016,2016-05-01,202,2016-p02-2,60,55.8,21.4,22.8,65.2,19.8,15.0,408942.4852,3660502.915
2016,2016-05-01,202,2016-p02-2,100,60.1,19.0,20.9,68.6,19.6,11.8,408942.4852,3660502.915
2016,2016-05-01,202,2016-p02-2,140,64.1,18.0,17.9,71.7,20.3,8.0,408942.4852,3660502.915
2016,2016-05-01,202,2016-p02-2,180,75.4,7.3,17.2,84.0,8.9,7.1,408942.4852,3660502.915
2016,2016-05-01,203,2016-p02-3,20,51.4,19.3,29.2,59.6,22.6,17.8,408941.8466,3660462.9129999997
2016,2016-05-01,203,2016-p02-3,60,59.5,23.7,16.9,69.1,22.0,8.9,408941.8466,3660462.9129999997
2016,2016-05-01,203,2016-p02-3,100,48.5,26.7,24.9,56.0,31.1,12.9,408941.8466,3660462.9129999997
